name,lat,lng,crime_type,notes,risk_level
Chor Bazaar (Grant Road),18.9576,72.8264,Theft/Fencing,Historic 'thieves' market in Mumbai; informal second-hand trade.,2
Kamathipura,18.9618,72.8258,Red-light/Trafficking,One of Asia's oldest red-light districts in Mumbai.,5
Dharavi,19.0414,72.8567,Illegal trade/Organized crime,Large slum with informal industries; reported organized informal economy.,4
Crawford Market area (Mumbai),18.9526,72.833,Theft/Scams,Busy wholesale market; petty theft & frauds reported.,3
Colaba Causeway (Mumbai),18.922,72.8305,Pickpocketing,Tourist market with frequent pickpocket incidents.,2
Kamla Market (New Delhi),28.6465,77.225,Pickpocketing/Scams,Bazaar near Connaught Place with petty theft reports.,1
Chandni Chowk (Old Delhi),28.6562,77.2303,Pickpocketing/Theft,Very high tourist footfall; pickpocketing and chain-snatch reports.,2
G.B. Road (Garstin Bastion Road),28.6578,77.2306,Red-light/Trafficking,Delhi's large red-light street.,1
Chotta Bazar / Farsh Bazaar (Old Delhi),28.6541,77.2311,Robbery/Scams,Market area with occasional reported robberies.,2
Karol Bagh electronics markets,28.6538,77.199,Theft/Scams,Electronics shops and grey-market trade.,2
Nizamuddin Basti (Old Delhi),28.5806,77.253,Theft/Robbery,High density residential lanes with occasional reported robberies.,3
Azadpur Mandi area (Delhi),28.7439,77.1855,Smuggling/Illegal trade,Large wholesale market with informal activity.,4
Paharganj (New Delhi),28.6505,77.2216,Theft/Drug deals,Backpacker area with petty crime & drug deals.,1
Lajpat Nagar market (Delhi),28.5684,77.2446,Pickpocketing,Busy shopping area with petty theft reports.,5
Kamla Nagar,28.6866,77.2071,Theft/Scams,College area with pickpocket reports.,3
Tibetan Market,28.6129,77.209,Pickpocketing,Small tourist market.,2
Old Rajinder Nagar area,28.668,77.1892,Theft,Busy residential/commercial mix with occasional robberies.,1
Gariahat market (Kolkata),22.5172,88.3738,Pickpocketing/Scams,Busy market in South Kolkata.,5
Sonagachi (Kolkata),22.5869,88.3521,Red-light/Trafficking,Asia's largest red-light district.,1
Esplanade (Kolkata),22.5726,88.3639,Pickpocketing,"High footfall, tourist thefts reported.",1
Howrah Station vicinity,22.5992,88.329,Theft/Robbery,Transport hub with petty crime.,1
Park Street (Kolkata),22.541,88.3566,Night robberies,Entertainment strip with occasional robberies.,3
Burrabazar wholesale markets,22.6228,88.3632,Theft/Fencing,Large wholesale trade & informal activity.,3
Bidhan Sarani area,22.6094,88.3716,Drug trade,Local drug activity reported.,4
Gariahat Sarani lanes,22.5173,88.3712,Pickpocketing,Busy shopping lanes.,1
College Street (Kolkata),22.5721,88.3597,Theft,Book market with petty theft incidents.,3
Tollygunge markets,22.5015,88.3566,Theft,Local market petty theft.,2
New Market (Kolkata),22.5448,88.347,Pickpocketing,Historic market & tourist spot.,2
Ballygunge Circular Road,22.5349,88.3722,Robbery,Upscale area but with reported robberies at times.,4
Park Circus bazaar,22.5336,88.3648,Scams/Robbery,Marketplace area with incidents.,5
Gopalapuram (Chennai),13.0575,80.2566,Pickpocketing,Upmarket area but with purse thefts.,1
T. Nagar (Chennai),13.0416,80.2356,Pickpocketing/Scams,Major shopping district; petty theft common.,5
"Parry's Corner (George Town, Chennai)",13.0866,80.287,Scams/Robbery,Commercial hub with theft reports.,2
Royapettah (Chennai),13.0627,80.2676,Theft,Busy roads and markets.,5
Gopalapuram Jewelry market,13.0549,80.2504,Theft/Scams,Jewelry shop scams reported.,5
Chintadripet (Chennai),13.0598,80.2709,Theft,Residential lanes with occasional robberies.,5
Tondiarpet,13.1113,80.2975,Organized petty crime,Port-adjacent economy.,2
Park Town (Chennai),13.0827,80.2714,Theft,Transit hub with petty crime.,4
Colony markets (Chennai periphery),13.0,80.2,Theft,Local markets.,3
MG Road (Bengaluru),12.9754,77.6068,Pickpocketing/Scams,Major commercial road with tourist thefts.,4
Majestic / Kempegowda Bus Station,12.9762,77.571,Pickpocketing/Robbery,Transport hub with petty crime.,5
KR Market (Bengaluru),12.9689,77.5738,Theft/Illegal trade,Large wholesale market.,3
Jayanagar shopping streets,12.925,77.5836,Pickpocketing,Busy shopping lanes.,4
